name,isActive,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
"Guppy","true","","69b4146cff178518af15e84a","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Swordtail","true","","69b4146cff178518af15e84b","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Platy","true","","69b4146cff178518af15e84c","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Molly","true","","69b4146cff178518af15e84d","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Ancistrus","true","","69b4146cff178518af15e84e","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Rasbora","true","","69b4146cff178518af15e84f","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Gourami","true","","69b4146cff178518af15e850","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Corydoras","true","","69b4146cff178518af15e851","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Tetra","true","","69b4146cff178518af15e852","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"White Cloud","true","","69b4146cff178518af15e853","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Barbs","true","","69b4146cff178518af15e854","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Rainbow Fish","true","","69b4146cff178518af15e855","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Zebrafish","true","","69b4146cff178518af15e856","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Shrimp","true","","69b4146cff178518af15e857","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Scalar","true","","69b4146cff178518af15e858","2026-03-13T13:43:08.120000","2026-03-13T13:43:08.120000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
