name,speciesName,isActive,id,created_date,updated_date,created_by_id,created_by,is_sample
"Mix Lyrtail","Molly","true","69c3acc42f2c86639952f0d8","2026-03-25T09:37:08.210000","2026-03-25T09:37:08.210000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"Mix","Barbs","true","69c39e1d4404e638922d8f2c","2026-03-25T08:34:37.171000","2026-03-25T08:34:37.171000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"Flame Tuxedo","Guppy","true","69b41486ff178518af15e872","2026-03-13T13:43:34.344000","2026-03-13T13:43:34.344000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Double Sword Mix","Guppy","true","69b41486ff178518af15e873","2026-03-13T13:43:34.344000","2026-03-13T13:43:34.344000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Tricolor","Guppy","true","69b41486ff178518af15e874","2026-03-13T13:43:34.344000","2026-03-13T13:43:34.344000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Silver","Guppy","true","69b41486ff178518af15e875","2026-03-13T13:43:34.344000","2026-03-13T13:43:34.344000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Endleri","Guppy","true","69b41486ff178518af15e876","2026-03-13T13:43:34.344000","2026-03-13T13:43:34.344000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Green Neon","Guppy","true","69b41486ff178518af15e877","2026-03-13T13:43:34.344000","2026-03-13T13:43:34.344000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Golden Flame Tuxedo","Guppy","true","69b41486ff178518af15e878","2026-03-13T13:43:34.344000","2026-03-13T13:43:34.344000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"Snakeskin Flame","Guppy","true","69b41486ff178518af15e879","2026-03-13T13:43:34.344000","2026-03-13T13:43:34.344000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
