systemId,notes,co2,ammonia,do,nitrate,uia,alkalinity,nitrite,temperature,ph,measuredAt,pondId,ec,id,created_date,updated_date,created_by_id,created_by,is_sample
"69b402793e6eb5f2dcbe6eaf","","6.79297460984697","0.6","","","0.0036228186374748007","40","0.4","23.7","7.07","2026-04-05T09:37:36.000Z","69baa1b3d4063e3968a07e13","2020","69d37b1b04220c2160fe364b","2026-04-06T09:21:31.018000","2026-04-06T09:37:37.139000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"69b402793e6eb5f2dcbe6eb2","","1.355376624556811","0","","","0","40","0.075","25.3","7.77","2026-04-05T09:23:50.000Z","69baa2bf82bbe2a92f0caafd","2230","69d37ae286db290ea0f8e286","2026-04-06T09:20:34.872000","2026-04-06T09:23:50.768000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"69b402793e6eb5f2dcbe6eb1","","1.6338512464654547","0","","","0","45","0.1","24.5","7.74","2026-04-05T13:20:11.000Z","69baa0c8de84d339494d4206","2160","69d2618ea03096ba165c844d","2026-04-05T13:20:14.042000","2026-04-05T13:20:14.042000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69b402793e6eb5f2dcbe6eb0","","0.39089488838232367","0","","","0","40","0.3","24.3","8.31","2026-04-05T13:09:19.000Z","69baa23281211626c8d27b76","261","69d25f018282efeed9af70a4","2026-04-05T13:09:21.128000","2026-04-05T13:09:21.128000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69b402793e6eb5f2dcbe6eae","","2.6851589818512607","0.5","","","0.00942392751786318","50","0.4","23.7","7.57","2026-04-05T12:55:21.000Z","69baa130af1bac50ccb8e70a","2200","69d25bbaaac1860b53522ee8","2026-04-05T12:55:22.017000","2026-04-05T12:55:22.017000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69b402793e6eb5f2dcbe6ead","","1.374520591660662","0","","","0","60","0.2","23.9","7.94","2026-04-05T12:49:47.000Z","69baa02e254d4514fca43c6b","2250","69d25a6d3d1ce25ab6e2229d","2026-04-05T12:49:49.531000","2026-04-05T12:49:49.531000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69bba22c5e6f95b27480aa45","בכניסה אמוניה 0","9.957521444625359","0.6","","","0.004034341483226052","60","0.8","24.9","7.08","2026-04-05T12:45:32.000Z","","2330","69d2592b8f00bde4ac43e031","2026-04-05T12:44:27.859000","2026-04-05T12:45:34.251000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69bba21e8cb3c1a5e9cb6c9a","אמוניה בכניסה 0","6.5788691768591105","0.6","","","0.006127965749084825","60","0.6","25","7.26","2026-04-05T12:40:13.000Z","69ba9f0d05cb2d8c8c1288b8","2210","69d2582eb6cb0936e120cb5b","2026-04-05T12:40:14.160000","2026-04-05T12:40:14.160000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69bba20fc5786182442f2d7d","","3.785744066881158","0.2","","","0.0034026732909089212","60","0.3","24.5","7.5","2026-04-05T12:34:09.000Z","69c0bee5a4c168ed40f4d964","2160","69d256c2a0f74be23bccace3","2026-04-05T12:34:10.851000","2026-04-05T12:34:10.851000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69b402793e6eb5f2dcbe6eac","בכניסת מים אמוניה 0","4.38591278457274","0.7","","","0.006951627406907942","40","0.4","24.6","7.26","2026-04-05T09:34:57.000Z","69ba9f0d05cb2d8c8c128890","2120","69d255dc027276fa3c82e3a9","2026-04-05T12:30:20.291000","2026-04-06T09:34:57.919000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69b402793e6eb5f2dcbe6eb1","","","","","","","","","7.44","","2026-03-31T05:21:56.000Z","69baa0c8de84d339494d41f1","","69cb59f7e10f64cabf632875","2026-03-31T05:21:59.288000","2026-03-31T05:21:59.288000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69b402793e6eb5f2dcbe6eae","עבר אקסטרה מסנן חול (בנוסף לסבב הרגיל)","3.0902954325135923","0.2","","125","0.006460918328599895","100","0.1","23.7","7.81","2026-03-25T12:17:50.000Z","69baa130af1bac50ccb8e70a","2530","69c3d0fc7e1484f6632aa780","2026-03-25T12:11:40.383000","2026-03-25T12:17:51.196000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69b402793e6eb5f2dcbe6ead","","2.08042110271519","0","","62","0","60","0","25.4","7.76","2026-03-25T12:02:49.000Z","","2290","69c3ceeb44920b22b7b18c01","2026-03-25T12:02:51.268000","2026-03-25T12:02:51.268000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
