currentTankId,notes,breedingTankId,line,batchCode,targetTankNumber,batchId,transferDate,isActive,currentTankNumber,stockingDate,group,fishCount,id,created_date,updated_date,created_by_id,created_by,is_sample
"69baa0c8de84d339494d4221","","69baa0c8de84d339494d4221","Flame","1404Fla","","B158","","true","RD49","2026-04-14","Tetra","","69de2b6e46ceaab13af8e5c7","2026-04-14T11:56:30.945000","2026-04-14T11:56:30.945000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69baa0c8de84d339494d421e","","69baa0c8de84d339494d421e","Albino","1404Alb","","B157","","true","RD46","2026-04-14","Corydoras","","69de2b022628e81bccbe5064","2026-04-14T11:54:42.194000","2026-04-14T11:54:42.194000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69baa0c8de84d339494d420d","","69baa0c8de84d339494d420d","Rosy","1404Ros","","B156","","true","RD29","2026-04-14","Barbs","","69de29f903774fde6f8586e1","2026-04-14T11:50:17.926000","2026-04-14T11:50:17.926000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69baa0c8de84d339494d4208","","69baa0c8de84d339494d4208","Blue","1404Blu","","B155","","true","RD24","2026-04-14","Rainbow Fish","","69de299a9d7e1acf2c65f89c","2026-04-14T11:48:42.307000","2026-04-14T11:48:42.307000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69baa332bcb32bc29c613fde","","69baa332bcb32bc29c613fde","Bronze","1404Bro","","B154","","true","LR19","2026-04-14","Corydoras","","69de23d938622dcc7aa90b4a","2026-04-14T11:24:09.299000","2026-04-14T11:24:09.299000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69baa332bcb32bc29c613fd4","","69baa332bcb32bc29c613fd4","Bronze","1404Bro","","B153","","true","LR9","2026-04-14","Corydoras","","69de23b688d20d18cf228701","2026-04-14T11:23:34.042000","2026-04-14T11:23:34.042000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69baa332bcb32bc29c614004","אנציסטוסים שבקעו ב14.4.","69baa332bcb32bc29c614004","Ancistrus","1404Anc","","B152","","true","LR57","2026-04-14","Ancistrus","","69ddc913ad3dde50f00524d3","2026-04-14T04:56:51.430000","2026-04-14T04:56:51.430000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69baa332bcb32bc29c613ff7","","69baa332bcb32bc29c613ff7","Zebra Glow","1204Zeb","","B151","","true","LR44","2026-04-12","Zebrafish","","69db28530ec7e7f54c50f1c3","2026-04-12T05:06:27.037000","2026-04-12T05:06:27.037000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69baa332bcb32bc29c614001","","69baa332bcb32bc29c614001","Zebra Glow","1204Zeb","","B150","","true","LR54","2026-04-12","Zebrafish","","69db284280ffcafd40134927","2026-04-12T05:06:10.592000","2026-04-12T05:06:10.592000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"69baa332bcb32bc29c613fec","","69baa332bcb32bc29c613fec","Zebra Glow","1204Zeb","","B149","","true","LR33","2026-04-12","Zebrafish","","69db281af734e2b17b1a2aa7","2026-04-12T05:05:30.135000","2026-04-12T05:05:30.135000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
